Array size,MCR,MSD,MSD_arr,CS,QS,LSD,
21,1,2,0,0,0,0,
22,0,0,0,0,0,0,
23,0,0,0,0,0,0,
24,0,0,0,0,0,0,
25,0,0,0,0,0,0,
26,0,0,0,0,0,0,
27,0,0,0,0,0,0,
28,0,0,0,0,0,0,
29,0,0,0,0,0,0,
30,0,0,0,0,0,0,
39,0,0,0,0,0,0,
48,0,0,1,0,0,0,
57,0,0,1,0,0,0,
66,0,0,1,0,0,0,
75,0,0,1,0,0,0,
84,0,0,2,0,0,0,
93,0,0,2,0,0,0,
102,0,0,2,0,0,0,
111,0,0,2,0,0,0,
120,0,0,2,0,0,0,
210,0,0,5,0,0,0,
300,0,0,7,0,1,0,
390,0,1,9,0,0,0,
480,0,1,12,0,0,0,
570,0,1,14,0,0,0,
660,0,0,16,0,0,0,
750,0,0,18,0,0,0,
840,0,2,21,0,0,0,
930,0,4,23,0,0,0,
1020,0,2,25,0,0,0,
1920,0,5,26,0,0,0,
2820,0,7,26,0,0,0,
3720,0,13,27,0,0,0,
4620,0,13,27,0,0,0,
5520,0,17,27,0,0,0,
6420,0,19,28,0,0,0,
7320,0,22,28,0,0,0,
8220,0,25,28,0,0,0,
9120,0,28,28,0,0,0,
10020,1,24,29,0,0,0,
19020,1,55,32,0,0,0,
28020,0,85,35,0,0,0,
37020,0,114,38,0,0,0,
46020,0,146,41,0,0,0,
55020,0,167,44,0,0,0,
64020,1,156,48,0,0,0,
73020,2,161,51,0,0,0,
82020,3,178,54,0,0,0,
91020,3,102,57,4,88,0,
100020,3,83,60,24,97,0,
